player_name,jersey,position,goals,assists,penalty_minutes,star_of_game,team,game_id
Hanna Bunton,9,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
Alexa Vasko,10,F,1,1,0,3.0,Sonnet,team-sonnet-vs-team-harveys
Abby Roque,11,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
Samantha Cogan,17,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
Malia Schneider,18,F,0,1,0,,Sonnet,team-sonnet-vs-team-harveys
Brianne Jenner,19,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
Hannah Brandt,20,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
Hilary Knight,21,F,1,0,0,,Sonnet,team-sonnet-vs-team-harveys
Erin Ambrose,23,D,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
Emma Buckles,25,D,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
Micah Zandee-Hart,28,D,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
Nicole Hensley,29,G,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
Natasza Tarnowski,33,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
Rebecca Leslie,37,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
Lindsay Browning,39,G,0,0,0,2.0,Sonnet,team-sonnet-vs-team-harveys
Claire Thompson,42,D,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
Demi Crossman,82,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
Lee Stecklein,2,D,0,1,0,,Harvey's,team-sonnet-vs-team-harveys
Lauriane Rougeau,5,D,0,0,0,,Harvey's,team-sonnet-vs-team-harveys
Laura Fortino,8,D,0,0,0,,Harvey's,team-sonnet-vs-team-harveys
Jessie Eldridge,9,F,0,0,0,,Harvey's,team-sonnet-vs-team-harveys
Rhianna Kurio,10,F,0,0,0,,Harvey's,team-sonnet-vs-team-harveys
Sophia Shaver,11,F,0,1,0,,Harvey's,team-sonnet-vs-team-harveys
Alexa Gruschow,12,F,0,0,0,,Harvey's,team-sonnet-vs-team-harveys
Clair DeGeorge,14,F,1,0,0,1.0,Harvey's,team-sonnet-vs-team-harveys
Savannah Harmon,15,D,0,0,0,,Harvey's,team-sonnet-vs-team-harveys
Hayley Scamurra,16,F,0,0,0,,Harvey's,team-sonnet-vs-team-harveys
Alexandra Poznikoff,19,F,1,0,0,,Harvey's,team-sonnet-vs-team-harveys
Emily Clark,26,F,0,0,0,,Harvey's,team-sonnet-vs-team-harveys
Kristen Richards,27,D,0,0,0,,Harvey's,team-sonnet-vs-team-harveys
Marie-Philip Poulin,29,F,0,0,0,,Harvey's,team-sonnet-vs-team-harveys
Geneviève Lacasse,31,G,0,0,0,,Harvey's,team-sonnet-vs-team-harveys
Jamie Lee Rattray,47,F,0,0,0,,Harvey's,team-sonnet-vs-team-harveys
Bailey Larson,61,F,0,1,0,,Harvey's,team-sonnet-vs-team-harveys
Karell Emard,76,F,0,0,0,,Harvey's,team-sonnet-vs-team-harveys
Rosalie Demers,81,F,0,0,0,,Harvey's,team-sonnet-vs-team-harveys
Emily Brown,2,D,0,0,0,,Sonnet,team-sonnet-vs-team-scotiabank
Iya Gavrilova,8,F,0,0,0,,Sonnet,team-sonnet-vs-team-scotiabank
Hanna Bunton,9,F,0,1,0,,Sonnet,team-sonnet-vs-team-scotiabank
Alexa Vasko,10,F,0,0,0,,Sonnet,team-sonnet-vs-team-scotiabank
Abby Roque,11,F,1,0,0,2.0,Sonnet,team-sonnet-vs-team-scotiabank
Lillian Ribeirinha-Braga,15,D,0,0,2,,Sonnet,team-sonnet-vs-team-scotiabank
Samantha Cogan,17,F,0,0,0,,Sonnet,team-sonnet-vs-team-scotiabank
Brianne Jenner,19,F,0,1,0,,Sonnet,team-sonnet-vs-team-scotiabank
Hannah Brandt,20,F,0,0,2,,Sonnet,team-sonnet-vs-team-scotiabank
Hilary Knight,21,F,0,0,0,,Sonnet,team-sonnet-vs-team-scotiabank
Caroylne Prévost,22,F,0,0,0,,Sonnet,team-sonnet-vs-team-scotiabank
Erin Ambrose,23,D,0,0,0,,Sonnet,team-sonnet-vs-team-scotiabank
Emma Buckles,25,D,0,0,0,,Sonnet,team-sonnet-vs-team-scotiabank
Erica Howe,27,G,0,0,0,,Sonnet,team-sonnet-vs-team-scotiabank
Micah Zandee-Hart,28,D,0,0,0,,Sonnet,team-sonnet-vs-team-scotiabank
Nicole Hensley,29,G,0,0,0,,Sonnet,team-sonnet-vs-team-scotiabank
Rebecca Leslie,37,F,0,0,0,,Sonnet,team-sonnet-vs-team-scotiabank
Claire Thompson,42,D,0,0,0,,Sonnet,team-sonnet-vs-team-scotiabank
Demi Crossman,82,F,0,0,0,,Sonnet,team-sonnet-vs-team-scotiabank
